chr	start	end	CpG	C15_S1_dedup5-N	C15_S1_dedup5-X	C19_S2_dedup5-N	C19_S2_dedup5-X	C33_S3_dedup5-N	C33_S3_dedup5-X	C36_S4_dedup5-N	C36_S4_dedup5-X	C55_S5_dedup5-N	C55_S5_dedup5-X	C59_S6_dedup5-N	C59_S6_dedup5-X
chr10	48726951	48727152	6	23	20	23	20	27	21	39	31	34	27	28	20
chr10	50311994	50312143	5	NA	NA	NA	NA	20	1	20	1	NA	NA	NA	NA
chr10	50312982	50312992	3	NA	NA	NA	NA	NA	NA	NA	NA	23	0	NA	NA
chr10	50614299	50614345	6	NA	NA	NA	NA	NA	NA	NA	NA	20	1	NA	NA
chr10	51954378	51954832	11	NA	NA	NA	NA	NA	NA	NA	NA	34	6	20	0
chr10	52051252	52051339	5	NA	NA	NA	NA	20	17	NA	NA	23	19	22	20
chr10	52265222	52265426	9	NA	NA	NA	NA	NA	NA	23	18	35	30	NA	NA
chr10	53315918	53316185	6	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	53349540	53349580	8	NA	NA	NA	NA	NA	NA	24	0	NA	NA	NA	NA
chr10	53469523	53469616	5	NA	NA	NA	NA	NA	NA	28	23	NA	NA	23	21
chr10	53608612	53608782	5	NA	NA	NA	NA	NA	NA	30	27	NA	NA	NA	NA
chr10	54172748	54172759	3	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr10	55050239	55050382	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	16
chr10	55948743	55948784	8	NA	NA	32	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	57167919	57168019	6	NA	NA	NA	NA	NA	NA	NA	NA	28	2	NA	NA
chr10	57219292	57219489	5	NA	NA	48	25	39	21	35	17	37	14	29	10
chr10	57686626	57686802	6	21	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	57686982	57687242	12	92	78	121	110	134	117	216	200	187	168	147	130
chr10	57688010	57688129	5	NA	NA	29	24	26	22	NA	NA	26	21	27	22
chr10	57691138	57691248	3	26	23	27	23	29	18	44	29	43	29	28	22
chr10	57694661	57694924	8	36	23	58	46	35	24	61	47	49	39	45	32
chr10	57695209	57695263	6	31	25	52	48	31	30	65	60	36	33	25	23
chr10	57699651	57699683	3	NA	NA	NA	NA	NA	NA	20	19	NA	NA	NA	NA
chr10	57700344	57700378	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	17
chr10	57702209	57702322	4	62	50	81	63	60	47	81	51	71	50	61	46
chr10	58177094	58177155	4	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	58177326	58177363	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	58277693	58277755	5	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA
chr10	58534807	58534937	4	NA	NA	NA	NA	NA	NA	NA	NA	21	18	NA	NA
chr10	58785685	58785838	7	NA	NA	24	0	NA	NA	NA	NA	20	2	NA	NA
chr10	58816804	58816933	4	NA	NA	22	21	23	20	37	35	NA	NA	NA	NA
chr10	59076762	59076834	4	NA	NA	NA	NA	20	4	NA	NA	NA	NA	NA	NA
chr10	59104025	59104092	4	NA	NA	NA	NA	NA	NA	26	24	NA	NA	NA	NA
chr10	59165875	59165965	6	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr10	59275770	59276082	11	NA	NA	21	14	23	17	26	22	NA	NA	NA	NA
chr10	59342583	59342629	7	NA	NA	NA	NA	NA	NA	21	2	NA	NA	NA	NA
chr10	59414578	59414631	5	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr10	59466700	59466763	6	22	6	NA	NA	NA	NA	NA	NA	NA	NA	22	10
chr10	59630357	59630492	5	NA	NA	NA	NA	20	18	27	25	NA	NA	NA	NA
chr10	59648684	59648790	6	NA	NA	NA	NA	NA	NA	NA	NA	24	10	NA	NA
chr10	60294013	60294080	12	NA	NA	NA	NA	36	10	NA	NA	NA	NA	NA	NA
chr10	60914538	60914727	7	NA	NA	NA	NA	NA	NA	23	0	NA	NA	NA	NA
chr10	61143812	61144051	5	NA	NA	NA	NA	NA	NA	28	1	26	3	NA	NA
chr10	61158490	61158562	11	NA	NA	NA	NA	NA	NA	54	25	NA	NA	NA	NA
chr10	61774391	61774498	5	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61845016	61845231	7	NA	NA	NA	NA	20	11	21	17	27	21	NA	NA
chr10	61912634	61912837	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	62040316	62040414	6	NA	NA	NA	NA	NA	NA	NA	NA	23	7	NA	NA
chr10	62484826	62484917	5	NA	NA	NA	NA	NA	NA	23	2	NA	NA	NA	NA
chr10	62706403	62706479	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	8
chr10	62800566	62800759	7	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr10	62891967	62892150	7	NA	NA	NA	NA	24	0	NA	NA	NA	NA	NA	NA
chr10	63045363	63045588	7	NA	NA	NA	NA	NA	NA	NA	NA	23	4	NA	NA
chr10	63553210	63553472	10	NA	NA	22	5	27	4	NA	NA	32	7	NA	NA
chr10	64213413	64213487	3	21	16	23	18	20	15	38	31	21	16	NA	NA
chr10	66465634	66465695	8	NA	NA	NA	NA	NA	NA	24	12	NA	NA	22	5
chr10	67012083	67012138	6	NA	NA	NA	NA	24	0	NA	NA	NA	NA	NA	NA
chr10	67321197	67321282	6	NA	NA	NA	NA	23	11	NA	NA	NA	NA	NA	NA
chr10	67472381	67472509	4	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA
chr10	67507836	67508081	8	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA
chr10	67738378	67738562	4	NA	NA	NA	NA	NA	NA	20	3	NA	NA	NA	NA
chr10	67740114	67740212	5	43	1	35	0	34	0	57	0	32	0	32	0
chr10	67991907	67992063	7	NA	NA	22	1	NA	NA	NA	NA	NA	NA	NA	NA
chr10	68643661	68643821	5	27	10	25	6	23	6	43	5	21	7	21	4
chr10	68649018	68649098	4	21	1	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	69028864	69029133	15	NA	NA	NA	NA	21	21	29	28	30	30	33	32
chr10	69388622	69388695	5	NA	NA	NA	NA	31	0	NA	NA	NA	NA	NA	NA
chr10	69390828	69391047	6	NA	NA	22	4	NA	NA	26	3	20	0	NA	NA
chr10	69558683	69558793	5	NA	NA	NA	NA	NA	NA	NA	NA	41	0	21	0
chr10	69560283	69560476	12	NA	NA	25	14	NA	NA	NA	NA	NA	NA	NA	NA
chr10	69643519	69643589	3	NA	NA	NA	NA	22	18	NA	NA	NA	NA	NA	NA
chr10	69652163	69652226	10	NA	NA	NA	NA	NA	NA	21	20	NA	NA	34	32
chr10	70060720	70060874	4	NA	NA	NA	NA	20	11	25	14	NA	NA	NA	NA
chr10	70060990	70061134	5	NA	NA	NA	NA	NA	NA	21	11	NA	NA	NA	NA
chr10	70304322	70304391	3	NA	NA	22	17	NA	NA	NA	NA	NA	NA	NA	NA
chr10	70409063	70409167	6	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA
chr10	70844175	70844259	9	NA	NA	NA	NA	NA	NA	25	0	NA	NA	20	6
chr10	72118359	72118556	4	NA	NA	NA	NA	NA	NA	NA	NA	20	6	NA	NA
chr10	72561378	72561505	6	NA	NA	NA	NA	NA	NA	NA	NA	22	9	NA	NA
chr10	74182084	74182292	11	NA	NA	NA	NA	NA	NA	20	19	29	25	NA	NA
chr10	74310860	74310967	5	23	21	NA	NA	NA	NA	30	28	NA	NA	NA	NA
chr10	75081921	75082057	4	23	8	28	7	25	8	35	10	33	15	NA	NA
chr10	75094916	75095016	3	NA	NA	NA	NA	NA	NA	22	7	NA	NA	NA	NA
chr10	75383920	75383992	11	NA	NA	NA	NA	31	0	32	3	NA	NA	NA	NA
chr10	75495304	75495331	7	NA	NA	21	2	NA	NA	NA	NA	NA	NA	NA	NA
chr10	76425417	76425541	4	NA	NA	NA	NA	NA	NA	NA	NA	37	20	NA	NA
chr10	76628846	76628951	12	NA	NA	20	7	20	13	51	14	NA	NA	NA	NA
chr10	77120700	77120803	6	NA	NA	NA	NA	NA	NA	30	6	NA	NA	27	2
chr10	77432518	77432569	8	24	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77472356	77472431	6	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA
chr10	77869301	77869340	4	NA	NA	NA	NA	29	21	NA	NA	NA	NA	NA	NA
chr10	77944910	77944977	6	NA	NA	NA	NA	20	7	NA	NA	NA	NA	NA	NA
chr10	78403641	78403716	7	NA	NA	31	27	28	28	33	30	NA	NA	26	24
chr10	78784887	78784999	8	NA	NA	44	3	58	2	22	0	NA	NA	NA	NA
chr10	78996351	78996443	10	NA	NA	24	5	NA	NA	NA	NA	38	9	NA	NA
chr10	79179033	79179098	8	NA	NA	31	8	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79209264	79209328	11	33	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79324393	79324601	7	44	5	27	1	48	3	38	3	73	5	36	1
chr10	79383835	79383868	7	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA
chr10	79454226	79454265	4	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79454655	79454721	3	NA	NA	NA	NA	NA	NA	NA	NA	23	21	20	19
chr10	79578050	79578112	7	NA	NA	NA	NA	24	2	NA	NA	NA	NA	NA	NA
chr10	79755515	79755582	7	NA	NA	27	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79792655	79792822	10	NA	NA	35	16	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79967857	79967897	5	NA	NA	NA	NA	NA	NA	NA	NA	20	12	NA	NA
chr10	80039546	80039593	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr10	80085355	80085392	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr10	80153912	80153994	9	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr10	80260610	80260671	12	NA	NA	29	2	33	0	NA	NA	NA	NA	NA	NA
chr10	80298514	80298566	7	NA	NA	NA	NA	20	12	21	17	NA	NA	NA	NA
chr10	80393153	80393276	11	NA	NA	NA	NA	NA	NA	24	1	25	0	NA	NA
chr10	80477685	80477738	5	NA	NA	NA	NA	22	6	NA	NA	NA	NA	NA	NA
chr10	80484619	80484663	9	NA	NA	NA	NA	27	0	NA	NA	NA	NA	NA	NA
chr10	80522803	80523000	16	NA	NA	26	0	28	1	27	0	29	9	NA	NA
chr10	80597074	80597116	6	NA	NA	NA	NA	NA	NA	NA	NA	20	14	NA	NA
chr10	80639207	80639261	7	NA	NA	NA	NA	NA	NA	21	14	NA	NA	NA	NA
chr10	80640793	80640945	8	NA	NA	41	37	69	52	54	42	42	31	44	29
chr10	80641455	80641673	11	32	27	20	19	50	44	28	23	32	31	32	28
chr10	80641834	80641899	3	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA
chr10	80644967	80645061	6	22	12	42	29	27	18	69	40	28	17	33	18
chr10	80748751	80748842	7	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr10	80755987	80756053	9	NA	NA	NA	NA	27	12	NA	NA	NA	NA	NA	NA
chr10	80800878	80800935	10	NA	NA	NA	NA	NA	NA	30	28	NA	NA	NA	NA
chr10	80819498	80819616	5	NA	NA	NA	NA	NA	NA	NA	NA	28	13	NA	NA
chr10	80938126	80938241	7	NA	NA	NA	NA	22	18	NA	NA	NA	NA	NA	NA
chr10	80958924	80958990	9	NA	NA	NA	NA	NA	NA	NA	NA	32	10	NA	NA
chr10	81111861	81111957	13	NA	NA	27	3	32	23	NA	NA	48	9	21	5
chr10	81460089	81460215	10	NA	NA	NA	NA	23	0	NA	NA	NA	NA	NA	NA
chr10	81460343	81460460	5	NA	NA	NA	NA	NA	NA	35	13	NA	NA	NA	NA
chr10	81546509	81546834	12	NA	NA	31	15	29	5	26	3	43	13	NA	NA
chr10	81641736	81641803	5	NA	NA	NA	NA	NA	NA	36	0	NA	NA	NA	NA
chr10	81728011	81728068	5	NA	NA	NA	NA	NA	NA	24	23	NA	NA	NA	NA
chr10	81977754	81977889	4	NA	NA	NA	NA	NA	NA	21	15	NA	NA	NA	NA
chr10	82085241	82085340	4	NA	NA	NA	NA	22	0	30	1	21	0	NA	NA
chr10	82448774	82448881	8	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA
chr10	82597064	82597235	6	NA	NA	NA	NA	21	16	NA	NA	NA	NA	20	14
chr10	82792650	82792820	6	23	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	82800627	82800656	7	NA	NA	NA	NA	21	2	NA	NA	NA	NA	NA	NA
chr10	82823381	82823564	12	NA	NA	NA	NA	NA	NA	36	11	NA	NA	NA	NA
chr10	82937988	82938209	7	NA	NA	NA	NA	22	21	NA	NA	NA	NA	23	23
chr10	82946084	82946193	3	NA	NA	NA	NA	NA	NA	20	19	NA	NA	NA	NA
chr10	83005812	83005939	5	NA	NA	NA	NA	26	18	21	21	NA	NA	NA	NA
chr10	83364594	83364668	5	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr10	84084870	84085083	11	NA	NA	22	0	NA	NA	25	0	23	2	26	0
chr10	84850319	84850358	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	14
chr10	85003363	85003512	4	NA	NA	NA	NA	NA	NA	21	15	NA	NA	NA	NA
chr10	85061567	85061612	7	NA	NA	25	9	NA	NA	NA	NA	NA	NA	NA	NA
chr10	85292165	85292353	15	NA	NA	NA	NA	30	1	36	5	NA	NA	NA	NA
chr10	86167772	86167821	8	NA	NA	NA	NA	NA	NA	NA	NA	24	10	NA	NA
